GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
evote,com.mse.eVote.stimmvergabe.events,VoteCastEvent,11,105,0,20,1,20,1,17,1,7
evote,com.mse.eVote.stimmvergabe.domain.model,Vote,17,96,1,19,2,19,2,16,1,7
evote,com.example,App,8,13,1,3,2,4,2,3,1,2
evote,com.mse.eVote.abstimmungsVerwaltung.domain.model,Poll,0,278,1,49,0,62,1,35,0,11
evote,com.mse.eVote.stimmvergabe.infrastructure,InMemoryVoteRepository,7,105,2,12,2,27,2,12,0,7
evote,com.mse.eVote.buergerVerwaltung.domain.model,Voter,14,213,0,14,2,56,1,26,1,19
evote,com.mse.eVote.abstimmungsVerwaltung.infrastructure,InMemoryPollRepository,4,51,0,4,2,11,1,6,1,4
evote,com.mse.eVote.buergerVerwaltung.events,VoterRegisteredEvent,3,60,0,0,1,17,1,10,1,10
evote,com.mse.eVote.buergerVerwaltung.domain.valueobjects,Name,0,71,0,12,0,16,0,10,0,4
evote,com.mse.eVote.buergerVerwaltung.domain.valueobjects,Adresse,22,130,2,24,3,28,3,17,2,5
evote,com.mse.eVote.buergerVerwaltung.domain.valueobjects,Email,3,18,0,4,1,4,1,3,1,1
